,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,east london,0,ZA,1535235886,94,-33.02,27.91,69.31,5.73
1,puerto ayora,75,EC,1535230800,69,-0.74,-90.35,75.2,16.11
2,velsk,0,RU,1535235982,81,61.07,42.1,56.8,7.96
3,cabo san lucas,20,MX,1535233680,58,22.89,-109.91,89.6,10.29
4,grand gaube,75,MU,1535234400,69,-20.01,57.66,73.4,14.99
5,cape town,75,ZA,1535234400,71,-33.93,18.42,50.0,19.46
6,chokurdakh,92,RU,1535235982,97,70.62,147.9,41.32,6.62
7,hermanus,92,ZA,1535235693,100,-34.42,19.24,47.35,12.66
8,grindavik,0,IS,1535232600,70,63.84,-22.43,51.8,4.7
9,vila franca do campo,20,PT,1535234400,78,37.72,-25.43,71.6,10.29
10,hasaki,75,JP,1535232600,88,35.73,140.83,80.6,2.24
11,albany,75,US,1535234040,46,42.65,-73.75,78.8,11.41
12,tayu,20,JP,1535232600,94,35.06,136.67,80.6,4.7
13,jamestown,0,AU,1535235983,77,-33.21,138.6,32.59,1.7
14,dandong,56,CN,1535235984,92,40.12,124.37,60.67,2.48
15,salalah,90,OM,1535230200,100,17.01,54.1,73.4,3.36
16,ushuaia,75,AR,1535230800,75,-54.81,-68.31,41.0,17.22
17,sumbe,56,AO,1535235984,100,-11.2,13.84,69.67,8.52
18,tiksi,0,RU,1535235985,100,71.64,128.87,39.16,3.94
19,cap malheureux,75,MU,1535234400,69,-19.98,57.61,73.4,14.99
20,lakes entrance,0,AU,1535235985,97,-37.88,147.99,43.39,3.49
21,koslan,0,RU,1535235985,86,63.46,48.9,48.97,5.73
22,provideniya,64,RU,1535235875,100,64.42,-173.23,46.63,11.65
23,mataura,0,NZ,1535235986,83,-46.19,168.86,44.92,11.54
24,esperance,20,TT,1535234400,74,10.24,-61.45,84.2,12.75
25,kudahuvadhoo,20,MV,1535235986,100,2.67,72.89,82.27,7.07
26,aklavik,75,CA,1535234400,76,68.22,-135.01,59.0,8.05
27,faya,0,SA,1535230800,50,18.39,42.45,77.0,5.17
28,punta arenas,75,CL,1535230800,70,-53.16,-70.91,42.8,6.93
29,hithadhoo,36,MV,1535235986,100,-0.6,73.08,79.75,5.5
30,rikitea,0,PF,1535235832,100,-23.12,-134.97,72.55,14.56
31,ribeira grande,0,PT,1535235987,100,38.52,-28.7,74.98,8.19
32,tuktoyaktuk,40,CA,1535234400,66,69.44,-133.03,51.8,4.7
33,paragominas,44,BR,1535235987,92,-3.0,-47.35,77.41,3.49
34,qasigiannguit,75,GL,1535230200,75,68.82,-51.19,42.8,10.29
35,havre-saint-pierre,20,CA,1535234400,82,50.23,-63.6,62.6,12.75
36,bafia,80,CM,1535235987,87,4.74,11.22,73.0,3.6
37,vaini,92,IN,1535235988,99,15.34,74.49,68.14,6.4
